"ID";"Item";"Score";"Decision";"Evidence";"Reason"
"28094_Borello_France_2010";"Item_1";1;"1.0";"To be eligible for the study, women had to demonstrate a post-void residual volume of less than 150 mL and the ability to contract their PFMs. They also had to show 7 or more episodes of UI on a 7-day baseline diary. Finally, they had to self-report persistent UI for at least 3 months, no current use of antimuscarinics or other medications that could affect UI, and no history of neurologic diseases or conditions...";"Explicit inclusion and exclusion criteria are reported in the Setting and Participants section without exceptions."
"28094_Borello_France_2010";"Item_2";1;"1.0";"307 women were enrolled, and 154 were randomly assigned to receive the combined drug and behavioral treatment... 144 women (94%) attended at least 3 therapy visits... By treatment visit 4 (n=143)... 12-month follow-up (n=110).";"Participant numbers across time points are clear, consistent, and calculable across intervention visits and follow-up assessments."
"28094_Borello_France_2010";"Item_3";9;"9.0";"This article reports adherence data from the subgroup of women who received the behavioral intervention in combination with drug therapy.";"The study reports on a single arm/subgroup analysis with no cross-group comparison."
"28094_Borello_France_2010";"Item_4";0;"0.0";"Associations of factors hypothesized to be related to exercise adherence were explored using least squares regression analysis... As data were obtained from multiple centers, study site was included as a random effect in the multivariable analyses.";"No statistical method for imputing missing outcome data (e.g., MI, FIML, ML) was reported or utilized."
"28094_Borello_France_2010";"Item_5";1;"1.0";"This was a prospectively planned secondary data analysis from a 2-stage, multicenter, randomized clinical trial.";"Participants were randomly assigned to study conditions in an RCT."
"28094_Borello_France_2010";"Item_6";1;"1.0";"Measurements. Pelvic-floor muscle exercise adherence and exercise barriers were assessed during the intervention phase and 1 year afterward.";"The follow-up period extends to 12 months after intervention, which is greater than 6 months."
"28094_Borello_France_2010";"Item_7";1;"1.0";"Pelvic-floor muscle exercise adherence and exercise barriers were assessed during the intervention phase and 1 year afterward.";"Assessments included baseline/pre-intervention measures, post-baseline/intervention measures, and a 12-month post-intervention follow-up."
"28094_Borello_France_2010";"Item_8";0;"0.0";"To ensure standardized administration across clinicians and clinical sites, behavioral interventionists attended centralized training... Other means to standardize the behavioral intervention included use of encounter forms...";"After excluding randomization, standard interventionist training, and routine statistical adjustments, no active procedural control techniques were used."
"28094_Borello_France_2010";"Item_9";0,5;"0.5";"The questionnaires did not undergo psychometric testing. To establish content validity, we modeled the questionnaires after the one described by Sluijs et al.21";"Psychometric properties/validity were derived or modeled from prior literature, with explicit mention that the instrument was not psychometrically tested on the current sample."
"28094_Borello_France_2010";"Item_10";1;"1.0";"Urge urinary incontinence (UUI), defined as the involuntary loss of urine associated with a strong desire to void... Pelvic-floor muscle exercise adherence was measured using 2 self-administered exercise questionnaires...";"Outcomes and primary conditions are defined both conceptually in the Introduction and empirically in the Measures section."
"38559_Kyno_2013";"Item_1";1;"1.0";"The infants of the participating parents were single-born infants and twins born in 2005–2006, with a gestation age from 30.0 to less than 36.0 weeks. They were all born at Oslo University Hospital, and were all hospitalized for more than 8 days in the NICU... None of the infants had congenital anomalies, hearing loss or chromosomal disorders. The mothers recruited to the study had to live in Oslo; speak, read and write Norwegian; and have no previous history of alcohol or drug abuse or psychiatric disorder.";"Explicit inclusion and exclusion criteria are reported without ambiguities or exceptions."
"38559_Kyno_2013";"Item_2";1;"1.0";"In the overall follow-up study at 36 months, the parents of 62 infants participated. All participating parents were invited by mail to participate in the focus group interviews. Thirty-one parents of 25 children decided to participate... The mothers participating in the interviews were on avrage three years older compared to those who declined to participate...";"Participant flow and counts from invitation to participation are specified, and attrition/non-response analysis is explicitly reported."
"38559_Kyno_2013";"Item_3";0,5;"0.5";"Thirty-one parents of 25 children decided to participate... 14 parents of 11 children from the intervention group, and 17 parents of 14 children from the control group were interviewed...";"Group-level counts for participants are reported, but the initial invited counts per arm from the pool of 62 infants are not reported separately, so group-specific loss rates cannot be fully calculated."
"38559_Kyno_2013";"Item_4";1;"1.0";"The interviews were analysed thematically in six phases as recommended by Braun and Clark";"There were no missing outcome data requiring statistical imputation in this qualitative study."
"38559_Kyno_2013";"Item_5";1;"1.0";"After the parents had signed an informed consent form, computer-generated random numbers allocated the infants to the intervention or control group.";"The study explicitly states that participants were randomly allocated using computer-generated random numbers."
"38559_Kyno_2013";"Item_6";1;"1.0";"The last four sessions occurred during home visits at 3, 14, 30 and 90 days after discharge... The present study is a part of the follow-up study of some of the same children and parents at 36 months";"The core intervention ended 90 days after discharge, and outcome assessment occurred when children were 36 months old, which is well over 6 months post-intervention."
"38559_Kyno_2013";"Item_7";0;"0.0";"As part of a follow-up study at 36 months, a randomized controlled trial of the MITP—14 parents of 11 children from the intervention group, and 17 parents of 14 children from the control group were interviewed by the use of semi-structured focus group interviews.";"Data collection for this qualitative study occurred post-intervention only (at 36 months), with no pre-test."
"38559_Kyno_2013";"Item_8";0;"0.0";"An experienced neonatal nurse with special skills in family dynamics moderated the groups. She had not previously met the participants.";"No valid procedural controls (such as participant/assessor blinding, attention control, or matching) meeting the criteria were reported."
"38559_Kyno_2013";"Item_9";0;"0.0";"In the semi-structured interviews, the participants... were asked to discuss... The interviews were analysed thematically in six phases";"No psychometric properties (such as internal consistency or inter-rater reliability) from the study's own sample are reported for the qualitative interview tool."
"38559_Kyno_2013";"Item_10";1;"1.0";"Parents of preterm-born infants often experience an increased level of parental stress... Child development is seen as a result of the transaction between the parents and infant... In the semi-structured interviews, the participants (both intervention and control) were asked to discuss: if they thought that parents of preterm-born children would experience more stress and worries in their role compared to parents of children born at term.";"Parental stress and worry are defined conceptually in the background using transactional theory and defined empirically via the semi-structured focus group interview protocol."
